date,Operating Cash Flow,Free Cash Flow,Investing Cash flow,Financing Cash Flow,Ticker
2016-12-31,188000000.0,167000000.0,-26000000.0,-156000000.0,AMD
2016-09-24,29000000.0,20000000.0,-10000000.0,282000000.0,AMD
2016-06-25,-85000000.0,-106000000.0,329000000.0,-3000000.0,AMD
2016-03-26,-42000000.0,-68000000.0,-26000000.0,-1000000.0,AMD
2015-12-26,64000000.0,32000000.0,-32000000.0,-2000000.0,AMD
2015-09-26,-59000000.0,-84000000.0,-17000000.0,2000000.0,AMD
2015-06-27,-58000000.0,-75000000.0,211000000.0,-1000000.0,AMD
2015-03-28,-173000000.0,-195000000.0,-15000000.0,60000000.0,AMD
2014-12-27,116000000.0,94000000.0,43000000.0,6000000.0,AMD
2014-09-27,18000000.0,-11000000.0,119000000.0,0.0,AMD
2014-06-28,-28000000.0,-51000000.0,-43000000.0,20000000.0,AMD
2014-03-29,-204000000.0,-225000000.0,-131000000.0,20000000.0,AMD
2013-12-28,21000000.0,0.0,296000000.0,9000000.0,AMD
2013-09-28,21000000.0,6000000.0,186000000.0,2000000.0,AMD
2013-06-29,-35000000.0,-63000000.0,-74000000.0,2000000.0,AMD
2013-03-30,-155000000.0,-175000000.0,47000000.0,0.0,AMD
2012-12-29,-286000000.0,-308000000.0,54000000.0,5000000.0,AMD
2012-09-29,-240000000.0,-272000000.0,-10000000.0,11000000.0,AMD
2012-06-30,81000000.0,42000000.0,-263000000.0,4000000.0,AMD
2012-03-31,107000000.0,67000000.0,200000000.0,17000000.0,AMD
2011-12-31,187000000.0,100000000.0,97000000.0,-40000000.0,AMD
2011-10-01,189000000.0,131000000.0,34000000.0,-152000000.0,AMD
2011-07-02,174000000.0,107000000.0,-230000000.0,8000000.0,AMD
2011-04-02,-168000000.0,-206000000.0,-14000000.0,178000000.0,AMD
2010-12-25,-213000000.0,-251000000.0,-103000000.0,302000000.0,AMD
2010-09-25,-124000000.0,-155000000.0,-321000000.0,-19000000.0,AMD
2010-06-26,-98000000.0,-129000000.0,516000000.0,24000000.0,AMD
2010-03-27,23000000.0,-25000000.0,-1215000000.0,177000000.0,AMD
2009-12-26,1150000000.0,977000000.0,-557000000.0,-783000000.0,AMD
2009-09-26,-142000000.0,-239000000.0,-220000000.0,230000000.0,AMD
2009-06-27,-144000000.0,-256000000.0,-317000000.0,38000000.0,AMD
2009-03-28,-391000000.0,-475000000.0,-179000000.0,2039000000.0,AMD
2008-12-27,-250000000.0,-363000000.0,51000000.0,24000000.0,AMD
2008-09-27,-216000000.0,-298000000.0,-47000000.0,61000000.0,AMD
2008-06-28,-242000000.0,-348000000.0,167000000.0,-19000000.0,AMD
2008-03-29,16000000.0,-307000000.0,-198000000.0,154000000.0,AMD
2007-12-29,61000000.0,-205000000.0,-326000000.0,601000000.0,AMD
2007-09-29,223000000.0,-196000000.0,-231000000.0,-200000000.0,AMD
2007-06-30,-635000000.0,-1049000000.0,-526000000.0,1474000000.0,AMD
2007-03-31,41000000.0,-545000000.0,-592000000.0,162000000.0,AMD
2006-12-31,271616000.0,-394802000.0,-3345194000.0,3069119000.0,AMD
2006-10-01,230185000.0,-194707000.0,448121000.0,17563000.0,AMD
2006-07-02,218850000.0,-236514000.0,-480580000.0,127256000.0,AMD
2006-03-26,566349000.0,256023000.0,-925347000.0,549062000.0,AMD
2005-12-25,537279000.0,208139000.0,-824598000.0,102807000.0,AMD
2005-09-25,429086000.0,66790000.0,-388162000.0,59534000.0,AMD
2005-06-26,265163000.0,-38102000.0,-387210000.0,173801000.0,AMD
2005-03-27,251327000.0,-267145000.0,-669612000.0,158047000.0,AMD
2004-12-26,362188000.0,-108191000.0,-543993000.0,313914000.0,AMD
2004-09-26,263395000.0,-143353000.0,-351987000.0,164982000.0,AMD
2004-06-27,254678000.0,-106285000.0,-452077000.0,-59780000.0,AMD
2004-03-28,206260000.0,4213000.0,-207727000.0,-6316000.0,AMD
2003-12-28,388592000.0,225811000.0,-207372000.0,-98292000.0,AMD
2003-09-28,1000.0,-123958000.0,4191000.0,308927000.0,AMD
2003-06-29,-14345000.0,-117425000.0,225944000.0,47102000.0,AMD
2003-03-30,-78662000.0,-259158000.0,60420000.0,9665000.0,AMD
2022-01-29,856413000.0,745280000.0,-103309000.0,-937268000.0,ADI
2021-10-30,940724000.0,809947000.0,2326805000.0,-2769698000.0,ADI
2021-07-31,630042000.0,543701000.0,-47512000.0,-406558000.0,ADI
2021-05-01,736362000.0,677192000.0,-60697000.0,-419585000.0,ADI
2021-01-30,427941000.0,360553000.0,-75071000.0,-363823000.0,ADI
2020-10-31,672598000.0,642710000.0,-30742000.0,-676166000.0,ADI
2020-08-01,557200000.0,536396000.0,-33497000.0,-219160000.0,ADI
2020-05-02,429041000.0,368880000.0,-61552000.0,-235710000.0,ADI
2020-02-01,349648000.0,294809000.0,-54732000.0,-289572000.0,ADI
2019-11-02,657904000.0,606829000.0,-63757000.0,-557110000.0,ADI
2019-08-03,552547000.0,494452000.0,-58642000.0,-594615000.0,ADI
2019-05-04,670882000.0,595673000.0,-74572000.0,-488920000.0,ADI
2019-02-02,371767000.0,280774000.0,-96215000.0,-486149000.0,ADI
2018-11-03,714441000.0,628437000.0,-89019000.0,-580746000.0,ADI
2018-08-04,620738000.0,568988000.0,-54489000.0,-599125000.0,ADI
2018-05-05,718494000.0,664594000.0,-105990000.0,-630145000.0,ADI
2018-02-03,388688000.0,325466000.0,-64500000.0,-548026000.0,ADI
2017-10-28,640919000.0,575704000.0,-13036000.0,-490140000.0,ADI
2017-07-29,-364283000.0,-427900000.0,426071000.0,-4852958000.0,ADI
2017-04-29,521464000.0,474535000.0,-8800803000.0,8989125000.0,ADI
2017-01-28,314492000.0,286155000.0,1769754000.0,1982551000.0,ADI
2016-10-29,486984000.0,445760000.0,-556929000.0,-111367000.0,ADI
2016-07-30,254003000.0,216475000.0,-111764000.0,-156662000.0,ADI
2016-04-30,320203000.0,294686000.0,-345212000.0,-326669000.0,ADI
2016-01-30,219705000.0,196577000.0,-204365000.0,571781000.0,ADI
2015-10-31,197975000.0,152168000.0,352584000.0,-222905000.0,ADI
2015-08-01,197139000.0,161975000.0,-147419000.0,-127930000.0,ADI
2015-05-02,344031000.0,294802000.0,-268561000.0,-89488000.0,ADI
2015-01-31,168653000.0,144893000.0,46271000.0,-131280000.0,ADI
2014-11-01,262263000.0,218846000.0,822000.0,-2277844000.0,ADI
2014-08-02,213442000.0,171127000.0,98766000.0,1870876000.0,ADI
2014-05-03,238424000.0,194366000.0,-170016000.0,-82334000.0,ADI
2014-02-01,157473000.0,109350000.0,-44323000.0,-87308000.0,ADI
2013-11-02,282165000.0,233607000.0,-250402000.0,-100467000.0,ADI
2013-08-03,220025000.0,189957000.0,-447791000.0,92394000.0,ADI
2013-05-04,252186000.0,226007000.0,-412134000.0,-39662000.0,ADI
2013-02-02,157969000.0,139700000.0,160401000.0,-52822000.0,ADI
2012-11-03,236047000.0,198536000.0,-106461000.0,-63747000.0,ADI
2012-08-04,137706000.0,98467000.0,-282515000.0,-86852000.0,ADI
2012-05-05,225969000.0,195832000.0,-544511000.0,-84325000.0,ADI
2012-02-04,214820000.0,189531000.0,-406203000.0,-114703000.0,ADI
2011-10-29,230160000.0,203829000.0,-57465000.0,-124786000.0,ADI
2011-07-30,256980000.0,220003000.0,-670372000.0,-122386000.0,ADI
2011-04-30,196638000.0,162497000.0,-184037000.0,310049000.0,ADI
2011-01-29,216751000.0,191204000.0,208136000.0,75735000.0,ADI
2010-10-30,274276000.0,236513000.0,-139876000.0,-58873000.0,ADI
2010-07-31,224806000.0,185681000.0,-172896000.0,-64617000.0,ADI
2010-05-01,278320000.0,260830000.0,-130092000.0,-53818000.0,ADI
2010-01-30,213773000.0,196594000.0,-42961000.0,104670000.0,ADI
2009-10-31,162678000.0,146289000.0,-101086000.0,-54674000.0,ADI
2009-08-01,133564000.0,128139000.0,-498410000.0,317728000.0,ADI
2009-05-02,75996000.0,63950000.0,-111226000.0,-59098000.0,ADI
2009-01-31,59910000.0,37675000.0,175993000.0,-57959000.0,ADI
2008-11-01,142258000.0,94881000.0,98899000.0,-58714000.0,ADI
2008-08-02,196147000.0,156766000.0,-129576000.0,-62654000.0,ADI
2008-05-03,153543000.0,123008000.0,-170480000.0,-201514000.0,ADI
2008-02-02,177420000.0,137305000.0,389520000.0,-357126000.0,ADI
2007-11-03,182850000.0,149673000.0,192624000.0,-344357000.0,ADI
2007-08-04,190729000.0,159483000.0,513603000.0,-668757000.0,ADI
2007-05-05,238633000.0,198972000.0,75718000.0,-355363000.0,ADI
2007-02-03,208153000.0,170427000.0,202642000.0,-356996000.0,ADI
2006-10-28,166735000.0,124980000.0,27097000.0,-372892000.0,ADI
2006-07-29,73973000.0,35613000.0,247504000.0,-201294000.0,ADI
2006-04-29,205139000.0,176317000.0,15105000.0,-246170000.0,ADI
2006-01-28,175255000.0,154895000.0,-244898000.0,-130507000.0,ADI
2005-10-29,200319000.0,179290000.0,439500000.0,-260920000.0,ADI
2005-07-30,180310000.0,161398000.0,-253888000.0,6935000.0,ADI
2005-04-30,175201000.0,153569000.0,-139551000.0,-130932000.0,ADI
2005-01-29,116874000.0,92990000.0,-56020000.0,-170172000.0,ADI
2004-10-30,182136000.0,143840000.0,98255000.0,-144330000.0,ADI
2004-07-31,167763000.0,130240000.0,-513767000.0,16341000.0,ADI
2004-05-01,236498000.0,193145000.0,-549899000.0,14507000.0,ADI
2004-01-31,191648000.0,164575000.0,275520000.0,25507000.0,ADI
2003-11-01,104726000.0,86368000.0,320124000.0,-1219071000.0,ADI
2003-08-02,115729000.0,95653000.0,33378000.0,25519000.0,ADI
2003-05-03,107253000.0,92905000.0,-527152000.0,5563000.0,ADI
2003-02-01,105255000.0,90302000.0,-172328000.0,4377000.0,ADI
2022-03-31,210936000.0,205874000.0,-9964000.0,-204645000.0,ANSS
2021-12-31,101653000.0,96768000.0,-413157000.0,-98987000.0,ANSS
2021-09-30,157845000.0,150547000.0,-7332000.0,-24762000.0,ANSS
2021-06-30,118877000.0,113087000.0,-100461000.0,-47895000.0,ANSS
2021-03-31,171107000.0,166062000.0,-15863000.0,-74208000.0,ANSS
2020-12-31,173767000.0,162592000.0,-483663000.0,372443000.0,ANSS
2020-09-30,94539000.0,87311000.0,-11024000.0,9705000.0,ANSS
2020-06-30,131592000.0,121612000.0,-109967000.0,3187000.0,ANSS
2020-03-31,147412000.0,140425000.0,-9599000.0,-288738000.0,ANSS
2019-12-31,139451000.0,120292000.0,-500100000.0,499445000.0,ANSS
2019-09-30,120368000.0,111533000.0,-22171000.0,5522000.0,ANSS
2019-06-30,88539000.0,78493000.0,-59594000.0,-6467000.0,ANSS
2019-03-31,151578000.0,144678000.0,-251683000.0,-69091000.0,ANSS
2018-12-31,132934000.0,124249000.0,-12067000.0,-75392000.0,ANSS
2018-09-30,109961000.0,103635000.0,-6360000.0,-66074000.0,ANSS
2018-06-30,111121000.0,107303000.0,-288017000.0,8196000.0,ANSS
2018-03-31,132421000.0,129488000.0,-7236000.0,-129405000.0,ANSS
2017-12-31,103478000.0,99144000.0,-35820000.0,-109277000.0,ANSS
2017-09-30,88885000.0,81572000.0,-36373000.0,5328000.0,ANSS
2017-06-30,112182000.0,108737000.0,-14365000.0,-112368000.0,ANSS
2017-03-31,125893000.0,121836000.0,-10885000.0,-78334000.0,ANSS
2016-12-31,96234000.0,92010000.0,-12599000.0,-79621000.0,ANSS
2016-09-30,81989000.0,79838000.0,-3250000.0,-86230000.0,ANSS
2016-06-30,70029000.0,66656000.0,-13633000.0,-77425000.0,ANSS
2016-03-31,108575000.0,105880000.0,-2691000.0,-36201000.0,ANSS
2015-12-31,109196000.0,103816000.0,-10373000.0,-86313000.0,ANSS
2015-09-30,77795000.0,74712000.0,-33490000.0,-106535000.0,ANSS
2015-06-30,66412000.0,62352000.0,-4003000.0,12620000.0,ANSS
2015-03-31,114120000.0,110498000.0,-14166000.0,-111523000.0,ANSS
2014-12-31,92273000.0,86878000.0,-5956000.0,-103673000.0,ANSS
2014-09-30,81562000.0,72857000.0,-8746000.0,-23271000.0,ANSS
2014-06-30,79833000.0,72002000.0,-92035000.0,-64199000.0,ANSS
2014-03-31,131639000.0,127547000.0,-22533000.0,5501000.0,ANSS
2013-12-31,84961000.0,70260000.0,-14756000.0,-34069000.0,ANSS
2013-09-30,65440000.0,59973000.0,-5469000.0,-16294000.0,ANSS
2013-06-30,87148000.0,82555000.0,-8835000.0,-67513000.0,ANSS
2013-03-31,95434000.0,91347000.0,-4117000.0,-11883000.0,ANSS
2012-12-31,69588000.0,63493000.0,-4791000.0,-41762000.0,ANSS
2012-09-30,70361000.0,66809000.0,-49911000.0,-20972000.0,ANSS
2012-06-30,74869000.0,65282000.0,-9510000.0,-64514000.0,ANSS
2012-03-31,83597000.0,78854000.0,-4744000.0,2402000.0,ANSS
2011-12-31,77614000.0,68075000.0,-9311000.0,332000.0,ANSS
2011-09-30,66278000.0,61359000.0,-274634000.0,-5017000.0,ANSS
2011-06-30,78910000.0,74646000.0,-4280000.0,4238000.0,ANSS
2011-03-31,84859000.0,81518000.0,-3418000.0,-9229000.0,ANSS
2010-12-31,-25265000.0,-30370000.0,-4439000.0,8452000.0,ANSS
2010-09-30,72263000.0,67527000.0,-4714000.0,-1340000.0,ANSS
2010-06-30,60155000.0,57606000.0,-2474000.0,-28384000.0,ANSS
