"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2022","629.16","644.68","645.22","628.04","","-2.40%"
"01/17/2022","644.66","643.88","644.72","643.78","","0.09%"
"01/14/2022","644.09","640.76","644.81","636.17","","0.51%"
"01/13/2022","640.85","657.66","662.68","639.65","","-2.54%"
"01/12/2022","657.55","653.98","663.99","653.97","","0.58%"
"01/11/2022","653.76","646.51","654.66","640.54","","1.12%"
"01/10/2022","646.49","647.26","647.33","628.57","","-0.11%"
"01/07/2022","647.21","653.22","656.56","643.44","","-0.92%"
"01/06/2022","653.22","657.73","658.73","648.26","","-0.73%"
"01/05/2022","658.02","677.83","678.07","657.75","","-2.94%"
"01/04/2022","677.98","686.70","688.52","672.44","","-1.26%"
"01/03/2022","686.65","681.91","687.62","679.04","","0.68%"
"12/31/2021","681.99","685.33","686.35","681.94","","-0.48%"
"12/30/2021","685.28","688.55","691.45","684.81","","-0.48%"
"12/29/2021","688.58","688.98","690.73","684.79","","-0.06%"
"12/28/2021","688.97","692.91","694.56","687.68","","-0.53%"
"12/27/2021","692.66","680.07","692.69","679.61","","1.86%"
"12/24/2021","680.04","680.18","680.29","679.93","","-0.01%"
"12/23/2021","680.09","676.01","682.40","676.00","","0.61%"
"12/22/2021","675.95","667.75","676.36","665.91","","1.25%"
"12/21/2021","667.62","650.11","668.17","650.09","","2.68%"
"12/20/2021","650.21","658.35","658.41","646.45","","-1.27%"
"12/17/2021","658.57","662.07","663.86","651.70","","-0.52%"
"12/16/2021","662.03","679.23","683.50","658.36","","-2.47%"
"12/15/2021","678.82","661.98","679.43","657.77","","2.53%"
"12/14/2021","662.07","673.40","673.48","655.64","","-1.68%"
"12/13/2021","673.39","683.23","685.87","673.17","","-1.44%"
"12/10/2021","683.20","673.18","683.63","672.41","","1.49%"
"12/09/2021","673.17","681.43","683.54","672.80","","-1.21%"
"12/08/2021","681.42","677.53","681.83","673.95","","0.59%"
"12/07/2021","677.40","653.50","678.43","653.32","","3.69%"
"12/06/2021","653.30","648.97","654.83","642.53","","0.69%"
"12/03/2021","648.85","660.21","663.97","642.32","","-1.74%"
"12/02/2021","660.32","656.61","663.00","648.86","","0.54%"
"12/01/2021","656.77","665.18","676.81","656.24","","-1.20%"
"11/30/2021","664.73","672.40","675.98","661.00","","-1.08%"
"11/29/2021","672.01","656.85","673.45","656.77","","2.23%"
"11/26/2021","657.32","673.02","673.08","655.98","","-2.34%"
"11/25/2021","673.04","672.44","673.30","672.43","","0.10%"
"11/24/2021","672.38","668.04","672.51","660.21","","0.61%"
"11/23/2021","668.32","672.23","672.36","660.28","","-0.60%"
"11/22/2021","672.37","683.01","690.52","672.18","","-1.59%"
"11/19/2021","683.24","679.43","685.90","679.39","","0.58%"
"11/18/2021","679.28","673.91","680.24","673.01","","0.81%"
"11/17/2021","673.79","675.91","677.79","672.55","","-0.31%"
"11/16/2021","675.90","675.91","675.91","675.90","","0.93%"
"11/15/2021","669.65","670.02","673.18","666.52","","-0.06%"
"11/12/2021","670.02","661.06","670.73","661.05","","1.34%"
"11/11/2021","661.17","657.83","662.82","657.27","","0.47%"
"11/10/2021","658.05","670.53","670.58","656.17","","-1.85%"
"11/09/2021","670.48","672.67","674.60","667.45","","-0.32%"
"11/08/2021","672.66","672.67","672.68","672.66","","0.62%"
"11/05/2021","668.51","666.37","672.71","665.26","","0.31%"
"11/04/2021","666.43","656.68","667.71","656.67","","1.51%"
"11/03/2021","656.50","652.77","657.55","650.37","","0.57%"
"11/02/2021","652.80","648.59","654.07","648.41","","0.66%"
"11/01/2021","648.53","647.62","648.86","644.65","","0.13%"
"10/29/2021","647.68","645.88","647.96","640.53","","0.28%"
"10/28/2021","645.89","638.81","646.38","638.49","","1.10%"
"10/27/2021","638.84","641.05","643.52","638.81","","-0.34%"
"10/26/2021","641.05","639.79","646.05","639.70","","0.19%"
"10/25/2021","639.82","637.97","641.73","637.35","","0.28%"
"10/22/2021","638.01","639.48","642.44","635.58","","-0.25%"
"10/21/2021","639.62","636.99","639.74","633.75","","0.41%"
"10/20/2021","637.00","639.19","640.45","634.90","","-0.35%"
"10/19/2021","639.26","633.19","639.78","633.18","","0.96%"
"10/18/2021","633.17","627.89","633.44","623.67","","0.83%"
"10/15/2021","627.97","622.79","628.00","622.75","","0.83%"
"10/14/2021","622.77","609.39","623.01","609.38","","2.22%"
"10/13/2021","609.23","603.57","609.61","603.38","","0.93%"
"10/12/2021","603.62","605.73","608.30","602.68","","-0.37%"
"10/11/2021","605.89","608.63","612.93","605.35","","-0.47%"
"10/08/2021","608.76","611.58","614.20","608.14","","-0.47%"
"10/07/2021","611.62","604.82","615.62","604.82","","1.13%"
"10/06/2021","604.77","601.60","605.22","593.36","","0.56%"
"10/05/2021","601.42","593.34","604.58","592.37","","1.32%"
"10/04/2021","593.59","608.44","608.71","589.69","","-2.42%"
"10/01/2021","608.34","602.03","609.65","597.38","","1.01%"
"09/30/2021","602.26","604.90","610.88","602.03","","-0.45%"
"09/29/2021","604.98","607.65","611.94","604.12","","-0.46%"
"09/28/2021","607.75","627.85","627.85","607.62","","-3.22%"
"09/27/2021","628.00","635.00","635.23","624.66","","-1.09%"
"09/24/2021","634.95","635.52","636.11","631.48","","-0.10%"
"09/23/2021","635.61","627.31","636.72","627.30","","1.28%"
"09/22/2021","627.56","619.99","629.21","619.24","","1.22%"
"09/21/2021","619.97","619.23","624.23","617.67","","0.10%"
"09/20/2021","619.33","630.76","630.76","612.31","","-1.82%"
"09/17/2021","630.84","639.05","639.78","629.72","","-1.28%"
"09/16/2021","639.04","638.46","639.57","633.31","","0.08%"
"09/15/2021","638.53","634.02","639.06","632.42","","0.69%"
"09/14/2021","634.15","633.99","638.53","632.91","","0.03%"
"09/13/2021","633.98","634.29","639.73","630.64","","-0.07%"
"09/10/2021","634.43","639.12","645.10","633.95","","-0.71%"
"09/09/2021","638.97","640.48","643.61","638.88","","-0.26%"
"09/08/2021","640.64","644.35","644.68","637.11","","-0.60%"
"09/07/2021","644.52","645.39","645.95","641.85","","-0.10%"
"09/06/2021","645.16","644.03","645.28","644.03","","0.17%"
"09/03/2021","644.06","640.79","645.37","640.58","","0.53%"
"09/02/2021","640.66","640.15","643.58","638.31","","0.07%"
"09/01/2021","640.19","638.86","644.11","638.86","","0.23%"
"08/31/2021","638.75","642.46","643.44","638.32","","-0.58%"
"08/30/2021","642.49","635.95","643.08","635.90","","1.07%"
"08/27/2021","635.66","629.13","636.23","629.02","","1.01%"
"08/26/2021","629.30","632.90","633.61","628.83","","-0.54%"
"08/25/2021","632.71","632.86","635.55","631.53","","-0.04%"
"08/24/2021","632.98","631.76","634.77","631.76","","0.23%"
"08/23/2021","631.53","622.68","632.34","622.68","","1.47%"
"08/20/2021","622.40","615.41","622.83","615.00","","1.13%"
"08/19/2021","615.42","611.49","617.64","607.18","","0.61%"
"08/18/2021","611.69","618.25","619.89","611.20","","-1.07%"
"08/17/2021","618.31","623.40","623.48","615.01","","-0.81%"
"08/16/2021","623.39","622.33","623.39","615.34","","0.17%"
"08/13/2021","622.33","619.64","622.70","619.09","","0.44%"
"08/12/2021","619.61","616.15","619.87","613.28","","0.56%"
"08/11/2021","616.14","617.18","620.06","613.60","","-0.17%"
"08/10/2021","617.19","621.63","623.91","615.93","","-0.70%"
"08/09/2021","621.56","622.59","624.27","620.43","","-0.17%"
"08/06/2021","622.61","624.56","624.67","620.75","","-0.32%"
"08/05/2021","624.64","620.98","624.87","620.89","","0.58%"
"08/04/2021","621.01","618.86","622.07","617.43","","0.34%"
"08/03/2021","618.89","615.43","619.17","612.16","","0.56%"
"08/02/2021","615.47","615.11","620.41","614.91","","0.08%"
"07/30/2021","614.97","616.82","616.98","612.85","","-0.29%"
"07/29/2021","616.78","613.56","618.97","613.42","","0.60%"
"07/28/2021","613.12","612.56","615.75","607.31","","0.05%"
"07/27/2021","612.82","619.15","619.26","606.01","","-1.01%"
"07/26/2021","619.07","619.18","619.89","616.32","","0.02%"
"07/23/2021","618.96","612.88","619.19","612.80","","0.98%"
"07/22/2021","612.94","607.94","613.51","607.90","","0.83%"
"07/21/2021","607.87","601.97","607.95","601.32","","1.04%"
"07/20/2021","601.61","593.01","604.73","592.77","","1.40%"
"07/19/2021","593.32","600.86","600.93","589.50","","-1.30%"
"07/16/2021","601.16","606.31","609.86","600.55","","-0.89%"
"07/15/2021","606.55","612.19","612.26","603.58","","-0.92%"
"07/14/2021","612.18","609.11","616.20","608.96","","0.44%"
"07/13/2021","609.52","607.43","613.62","606.16","","0.35%"
"07/12/2021","607.42","606.93","610.31","605.82","","0.12%"
"07/09/2021","606.68","600.57","607.08","599.70","","0.96%"
"07/08/2021","600.92","606.91","606.95","594.60","","-0.99%"
"07/07/2021","606.95","604.24","609.10","602.78","","0.43%"
"07/06/2021","604.33","601.19","606.64","598.85","","0.53%"
"07/05/2021","601.17","600.94","601.22","600.85","","0.06%"
"07/02/2021","600.78","593.29","601.30","593.23","","1.23%"
"07/01/2021","593.47","593.75","594.13","590.04","","-0.06%"
"06/30/2021","593.81","596.09","596.22","592.44","","-0.36%"
"06/29/2021","595.97","592.51","596.15","591.40","","0.61%"
"06/28/2021","592.34","586.24","592.84","585.87","","1.04%"
"06/25/2021","586.25","587.00","587.86","585.08","","-0.09%"
"06/24/2021","586.80","582.63","588.75","582.51","","0.69%"
"06/23/2021","582.79","583.53","585.13","581.70","","-0.09%"
"06/22/2021","583.30","577.78","583.94","577.74","","1.00%"
"06/21/2021","577.51","572.95","578.07","569.13","","0.77%"
"06/18/2021","573.12","578.27","578.40","572.27","","-0.88%"
"06/17/2021","578.21","571.00","579.90","569.20","","1.11%"
"06/16/2021","571.89","573.59","576.23","566.19","","-0.32%"
"06/15/2021","573.72","577.01","577.77","572.95","","-0.54%"
"06/14/2021","576.86","570.66","576.86","570.18","","1.12%"
"06/11/2021","570.48","566.97","570.50","566.95","","0.65%"
"06/10/2021","566.79","562.08","567.37","561.84","","0.82%"
"06/09/2021","562.20","562.13","565.46","561.92","","-0.01%"
"06/08/2021","562.28","561.96","567.14","560.60","","0.06%"
"06/07/2021","561.95","561.32","562.24","559.59","","0.16%"
"06/04/2021","561.08","550.86","561.62","550.71","","1.81%"
"06/03/2021","551.10","556.72","557.08","548.52","","-1.00%"
"06/02/2021","556.65","554.02","558.50","553.57","","0.44%"
"06/01/2021","554.19","555.87","559.67","552.94","","-0.27%"
"05/31/2021","555.69","555.96","556.08","555.66","","-0.05%"
"05/28/2021","555.97","554.08","559.40","554.02","","0.38%"
"05/27/2021","553.88","556.30","557.59","553.85","","-0.48%"
"05/26/2021","556.54","556.06","558.32","554.97","","0.08%"
"05/25/2021","556.07","555.07","559.16","555.03","","0.21%"
"05/24/2021","554.91","546.03","556.51","546.03","","1.60%"
"05/21/2021","546.18","548.51","551.95","545.83","","-0.39%"
"05/20/2021","548.34","537.04","549.93","537.04","","2.04%"
"05/19/2021","537.40","536.33","537.40","527.37","","0.17%"
"05/18/2021","536.49","538.82","542.61","536.44","","-0.40%"
"05/17/2021","538.67","542.75","542.75","534.34","","-0.70%"
"05/14/2021","542.46","530.50","544.12","530.50","","2.30%"
"05/13/2021","530.26","525.57","535.08","524.31","","0.86%"
"05/12/2021","525.76","541.22","541.46","524.52","","-2.85%"
"05/11/2021","541.17","542.89","542.91","530.37","","-0.36%"
"05/10/2021","543.14","556.69","556.84","543.06","","-2.41%"
"05/07/2021","556.57","551.04","559.85","550.94","","1.01%"
"05/06/2021","551.01","548.01","551.06","542.69","","0.54%"
"05/05/2021","548.06","548.20","554.53","547.13","","-0.04%"
"05/04/2021","548.30","559.81","559.82","542.75","","-2.07%"
"05/03/2021","559.91","561.53","565.73","558.78","","-0.29%"
"04/30/2021","561.56","569.50","569.87","560.68","","-1.40%"
"04/29/2021","569.52","571.04","575.90","564.73","","-0.21%"
"04/28/2021","570.72","574.47","574.59","569.93","","-0.66%"
"04/27/2021","574.54","576.74","577.52","572.82","","-0.38%"
"04/26/2021","576.75","572.91","577.12","572.77","","0.74%"
"04/23/2021","572.54","565.20","574.48","564.81","","1.29%"
"04/22/2021","565.24","569.18","572.50","563.16","","-0.64%"
"04/21/2021","568.88","563.36","568.95","561.06","","0.90%"
"04/20/2021","563.79","569.20","570.06","561.03","","-1.00%"
"04/19/2021","569.46","574.47","575.15","566.89","","-0.87%"
"04/16/2021","574.45","574.97","575.62","572.31","","-0.07%"
"04/15/2021","574.83","565.61","575.08","565.42","","1.64%"
"04/14/2021","565.57","571.68","572.63","565.05","","-1.02%"
"04/13/2021","571.42","565.23","571.83","565.11","","1.08%"
"04/12/2021","565.32","568.19","568.21","562.51","","-0.48%"
"04/09/2021","568.05","563.29","568.11","560.44","","0.88%"
"04/08/2021","563.11","554.70","563.28","554.55","","1.49%"
"04/07/2021","554.86","552.44","555.72","550.41","","0.45%"
"04/06/2021","552.35","553.22","555.35","550.28","","-0.13%"
"04/05/2021","553.05","544.35","553.91","544.02","","1.64%"
"04/02/2021","544.12","543.85","544.26","543.85","","0.09%"
"04/01/2021","543.61","532.29","543.96","532.28","","2.10%"
"03/31/2021","532.44","524.58","535.67","524.14","","1.47%"
"03/30/2021","524.74","528.59","528.83","521.40","","-0.72%"
"03/29/2021","528.56","531.48","532.17","525.82","","-0.56%"
"03/26/2021","531.55","519.58","531.91","519.56","","2.30%"
"03/25/2021","519.58","520.26","521.69","513.49","","-0.15%"
"03/24/2021","520.36","527.14","529.96","520.23","","-1.31%"
"03/23/2021","527.27","530.71","533.68","525.99","","-0.65%"
"03/22/2021","530.72","521.65","532.89","521.11","","1.72%"
"03/19/2021","521.75","522.15","525.08","518.27","","-0.10%"
"03/18/2021","522.25","536.80","537.43","521.68","","-2.64%"
"03/17/2021","536.41","536.79","539.55","528.45","","-0.06%"
"03/16/2021","536.75","533.34","542.05","533.33","","0.65%"
"03/15/2021","533.28","527.50","533.49","526.44","","1.10%"
"03/12/2021","527.50","531.33","531.93","521.97","","-0.70%"
"03/11/2021","531.21","519.33","533.81","518.88","","2.32%"
"03/10/2021","519.17","521.63","527.33","518.84","","-0.44%"
"03/09/2021","521.45","503.78","524.44","503.19","","3.48%"
"03/08/2021","503.90","515.93","518.11","503.65","","-2.32%"
"03/05/2021","515.85","508.90","516.93","499.36","","1.29%"
"03/04/2021","509.26","522.33","523.00","503.39","","-2.52%"
"03/03/2021","522.44","536.37","536.47","522.03","","-2.59%"
"03/02/2021","536.35","544.78","546.46","536.23","","-1.54%"
"03/01/2021","544.76","528.33","545.05","528.31","","3.06%"
"02/26/2021","528.57","527.21","534.94","523.37","","0.20%"
"02/25/2021","527.54","544.25","545.43","525.41","","-3.03%"
"02/24/2021","544.05","539.30","544.58","529.76","","0.87%"
"02/23/2021","539.38","542.44","542.53","522.92","","-0.57%"
"02/22/2021","542.46","554.91","555.18","542.46","","-2.22%"
"02/19/2021","554.78","553.71","558.21","552.65","","0.19%"
"02/18/2021","553.72","555.79","556.11","547.19","","-0.38%"
"02/17/2021","555.83","562.66","562.66","550.83","","-1.24%"
"02/16/2021","562.83","564.66","567.06","560.88","","-0.32%"
"02/15/2021","564.65","564.16","564.76","564.12","","0.10%"
"02/12/2021","564.10","560.97","564.40","558.41","","0.55%"
"02/11/2021","561.02","555.07","561.11","554.98","","1.07%"
"02/10/2021","555.09","555.75","559.20","550.86","","-0.10%"
"02/09/2021","555.66","554.98","557.71","554.10","","0.13%"
"02/08/2021","554.94","548.68","554.98","548.61","","1.16%"
"02/05/2021","548.57","548.35","550.33","546.91","","0.03%"
"02/04/2021","548.39","540.84","548.39","540.30","","1.41%"
"02/03/2021","540.77","542.74","544.47","539.26","","-0.34%"
"02/02/2021","542.62","534.88","543.93","534.82","","1.44%"
"02/01/2021","534.90","522.20","536.53","522.02","","2.41%"
"01/29/2021","522.31","534.44","534.73","519.34","","-2.26%"
"01/28/2021","534.40","532.16","541.55","530.37","","0.42%"
"01/27/2021","532.16","542.56","542.94","528.66","","-1.92%"
"01/26/2021","542.57","543.66","546.57","541.75","","-0.21%"
"01/25/2021","543.69","540.27","547.94","531.77","","0.63%"
"01/22/2021","540.30","541.84","541.99","538.39","","-0.27%"
"01/21/2021","541.77","535.58","543.31","535.58","","1.17%"
"01/20/2021","535.53","525.88","536.88","525.81","","1.84%"
"01/19/2021","525.86","519.71","526.54","519.70","","1.19%"
"01/18/2021","519.70","519.53","519.80","519.07","","0.03%"
"01/15/2021","519.53","524.77","526.32","518.66","","-0.99%"
"01/14/2021","524.70","527.81","531.03","524.51","","-0.58%"
"01/13/2021","527.77","525.02","529.50","524.67","","0.58%"
"01/12/2021","524.73","525.49","526.32","520.26","","-0.14%"
"01/11/2021","525.45","530.60","530.60","523.45","","-1.00%"
"01/08/2021","530.77","525.27","531.97","525.11","","1.07%"
"01/07/2021","525.16","512.71","526.24","512.29","","2.48%"
"01/06/2021","512.45","521.51","521.62","511.16","","-1.71%"
"01/05/2021","521.38","517.47","521.92","516.65","","0.74%"
"01/04/2021","517.56","525.28","527.95","511.58","","-1.46%"
"01/01/2021","525.23","525.23","525.23","525.23","","0.00%"
"12/31/2020","525.23","524.99","525.82","521.59","","0.05%"
"12/30/2020","524.98","524.75","527.73","524.37","","0.05%"
"12/29/2020","524.72","526.84","531.05","524.23","","-0.39%"
"12/28/2020","526.80","522.82","528.01","522.77","","0.79%"
"12/25/2020","522.67","522.57","522.74","522.56","","0.02%"
"12/24/2020","522.56","519.28","523.97","519.24","","0.64%"
"12/23/2020","519.24","523.50","525.12","519.24","","-0.81%"
"12/22/2020","523.46","518.38","525.05","517.67","","1.01%"
"12/21/2020","518.23","518.49","518.60","508.27","","-0.04%"
"12/18/2020","518.46","520.01","520.75","515.81","","-0.29%"
"12/17/2020","519.98","514.56","520.82","514.56","","1.07%"
"12/16/2020","514.49","510.06","515.72","509.96","","0.88%"
"12/15/2020","509.98","502.46","510.07","502.28","","1.51%"
"12/14/2020","502.38","500.35","505.92","500.35","","0.43%"
"12/11/2020","500.24","501.31","501.44","495.21","","-0.20%"
"12/10/2020","501.24","500.12","503.12","495.36","","0.22%"
"12/09/2020","500.16","509.58","510.46","498.39","","-1.86%"
"12/08/2020","509.62","507.44","510.91","505.75","","0.42%"
"12/07/2020","507.49","505.97","508.60","505.47","","0.30%"
"12/04/2020","505.96","501.37","505.96","501.03","","0.90%"
"12/03/2020","501.43","501.18","504.89","500.46","","0.09%"
"12/02/2020","501.00","501.95","502.17","496.10","","-0.16%"
"12/01/2020","501.78","496.65","503.73","496.65","","1.01%"
"11/30/2020","496.78","493.94","497.23","488.71","","0.59%"
"11/27/2020","493.89","490.22","495.36","490.20","","0.75%"
"11/26/2020","490.19","489.51","490.38","489.51","","0.15%"
"11/25/2020","489.45","487.40","490.57","487.27","","0.45%"
"11/24/2020","487.28","481.49","488.02","480.37","","1.22%"
"11/23/2020","481.43","482.02","485.71","478.00","","-0.12%"
"11/20/2020","482.02","485.42","486.83","482.00","","-0.67%"
"11/19/2020","485.29","481.07","485.97","478.70","","0.85%"
"11/18/2020","481.19","485.29","486.54","481.06","","-0.85%"
"11/17/2020","485.30","486.82","487.49","483.08","","-0.30%"
"11/16/2020","486.77","482.03","487.43","481.47","","0.99%"
"11/13/2020","481.99","479.03","482.97","478.18","","0.61%"
"11/12/2020","479.07","482.54","485.06","477.49","","-0.70%"
"11/11/2020","482.43","470.64","483.44","470.61","","2.50%"
"11/10/2020","470.66","479.90","480.22","466.94","","-1.94%"
"11/09/2020","479.95","484.85","496.61","479.68","","-1.01%"
"11/06/2020","484.83","482.57","485.89","476.17","","0.47%"
"11/05/2020","482.56","467.82","483.54","467.81","","3.16%"
"11/04/2020","467.77","450.58","470.51","450.33","","3.81%"
"11/03/2020","450.59","442.36","453.51","442.36","","1.87%"
"11/02/2020","442.31","441.32","447.80","438.26","","0.23%"
"10/30/2020","441.31","452.89","452.93","437.45","","-2.54%"
"10/29/2020","452.81","446.30","456.68","446.11","","1.42%"
"10/28/2020","446.48","464.63","464.73","446.23","","-3.94%"
"10/27/2020","464.79","462.41","466.49","462.10","","0.50%"
"10/26/2020","462.46","473.48","473.71","457.29","","-2.32%"
"10/23/2020","473.42","473.73","474.17","469.91","","-0.07%"
"10/22/2020","473.74","476.40","477.71","468.63","","-0.58%"
"10/21/2020","476.51","477.81","481.24","475.75","","-0.27%"
"10/20/2020","477.79","477.11","482.28","475.76","","0.13%"
"10/19/2020","477.17","484.09","488.66","476.02","","-1.43%"
"10/16/2020","484.10","485.15","489.66","483.91","","-0.21%"
"10/15/2020","485.13","487.88","487.89","478.60","","-0.58%"
"10/14/2020","487.96","490.58","493.90","484.67","","-0.53%"
"10/13/2020","490.58","492.54","495.19","489.10","","-0.40%"
"10/12/2020","492.55","481.15","495.29","481.04","","2.37%"
"10/09/2020","481.13","473.85","481.19","473.79","","1.55%"
"10/08/2020","473.78","471.37","475.39","471.35","","0.52%"
"10/07/2020","471.31","463.47","471.92","463.36","","1.65%"
"10/06/2020","463.67","469.92","472.85","462.20","","-1.33%"
"10/05/2020","469.94","460.19","469.94","460.15","","2.15%"
"10/02/2020","460.03","470.54","470.71","458.65","","-2.21%"
"10/01/2020","470.43","465.30","471.64","465.26","","1.11%"
"09/30/2020","465.25","462.51","469.22","461.52","","0.59%"
"09/29/2020","462.54","462.92","465.09","461.83","","-0.03%"
"09/28/2020","462.68","454.54","462.87","454.54","","1.81%"
"09/25/2020","454.47","444.96","455.61","442.53","","2.19%"
"09/24/2020","444.71","443.43","449.68","438.94","","0.25%"
"09/23/2020","443.62","456.01","456.77","442.64","","-2.71%"
"09/22/2020","455.96","449.08","456.72","447.04","","1.54%"
"09/21/2020","449.06","446.56","449.10","436.99","","0.54%"
"09/18/2020","446.66","451.93","454.04","441.54","","-1.13%"
"09/17/2020","451.78","455.56","455.56","445.40","","-0.85%"
"09/16/2020","455.66","461.66","464.14","455.43","","-1.30%"
"09/15/2020","461.67","457.47","464.63","457.40","","0.89%"
"09/14/2020","457.59","448.88","459.65","448.78","","1.97%"
"09/11/2020","448.75","451.85","456.73","443.76","","-0.73%"
"09/10/2020","452.04","460.84","467.32","449.62","","-1.87%"
"09/09/2020","460.67","446.81","464.48","446.63","","3.05%"
"09/08/2020","447.04","466.12","466.35","446.86","","-4.08%"
"09/07/2020","466.06","465.60","466.09","465.54","","0.09%"
"09/04/2020","465.64","473.29","476.16","447.34","","-1.66%"
"09/03/2020","473.49","501.19","501.43","470.44","","-5.49%"
"09/02/2020","501.00","497.57","503.50","492.89","","0.70%"
"09/01/2020","497.53","487.13","497.69","486.94","","2.12%"
"08/31/2020","487.18","485.32","489.42","483.80","","0.42%"
"08/28/2020","485.14","481.03","486.36","480.62","","0.84%"
"08/27/2020","481.10","482.27","484.97","477.73","","-0.20%"
"08/26/2020","482.07","472.55","483.34","472.36","","2.02%"
"08/25/2020","472.53","469.97","472.79","468.88","","0.56%"
"08/24/2020","469.88","466.21","473.11","466.13","","0.79%"
"08/21/2020","466.19","462.04","466.79","461.24","","0.96%"
"08/20/2020","461.77","456.43","462.53","454.21","","1.09%"
"08/19/2020","456.81","457.80","460.33","456.20","","-0.20%"
"08/18/2020","457.73","455.94","459.00","454.28","","0.40%"
"08/17/2020","455.91","452.43","456.76","452.28","","0.76%"
"08/14/2020","452.46","453.49","453.96","450.33","","-0.22%"
"08/13/2020","453.47","452.38","456.66","451.86","","0.27%"
"08/12/2020","452.26","443.05","453.10","442.97","","2.05%"
"08/11/2020","443.19","449.34","450.84","442.45","","-1.39%"
"08/10/2020","449.44","451.70","452.77","444.17","","-0.51%"
"08/07/2020","451.73","458.71","458.79","448.39","","-1.52%"
"08/06/2020","458.68","453.74","459.07","451.96","","1.07%"
"08/05/2020","453.81","451.70","454.82","451.55","","0.52%"
"08/04/2020","451.48","450.51","451.69","447.91","","0.27%"
"08/03/2020","450.27","440.44","451.44","440.07","","2.24%"
"07/31/2020","440.41","431.65","440.41","431.24","","2.10%"
"07/30/2020","431.35","430.19","431.77","423.51","","0.28%"
