"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2022","95.566","95.735","95.735","95.460","0.28K","-0.09%"
"Jan 20, 2022","95.655","95.440","95.750","95.380","0.08K","0.23%"
"Jan 19, 2022","95.440","95.685","95.720","95.430","0.03K","-0.23%"
"Jan 18, 2022","95.658","95.115","95.735","95.070","0.09K","0.58%"
"Jan 17, 2022","95.106","95.130","95.260","94.980","0.09K","0.00%"
"Jan 14, 2022","95.106","94.750","95.155","94.580","0.15K","0.41%"
"Jan 13, 2022","94.715","94.920","94.945","94.615","0.06K","-0.14%"
"Jan 12, 2022","94.846","95.530","95.610","94.850","0.18K","-0.75%"
"Jan 11, 2022","95.565","95.880","95.915","95.565","0.05K","-0.39%"
"Jan 10, 2022","95.935","95.750","96.130","95.730","0.05K","0.27%"
"Jan 07, 2022","95.672","96.185","96.190","95.700","0.11K","-0.63%"
"Jan 06, 2022","96.281","96.120","96.305","96.100","0.04K","0.16%"
"Jan 05, 2022","96.127","96.100","96.165","95.860","0.07K","-0.11%"
"Jan 04, 2022","96.229","96.205","96.375","96.005","0.04K","0.07%"
"Jan 03, 2022","96.166","95.715","96.235","95.700","0.06K","0.64%"
"Dec 31, 2021","95.553","95.915","96.000","95.565","0.06K","-0.38%"
"Dec 30, 2021","95.919","95.865","96.160","95.860","0.05K","0.03%"
"Dec 29, 2021","95.886","96.115","96.310","95.685","0.07K","-0.29%"
"Dec 28, 2021","96.168","96.060","96.175","95.980","0.05K","0.12%"
"Dec 27, 2021","96.051","96.085","96.170","96.020","0.03K","0.10%"
"Dec 23, 2021","95.955","96.035","96.135","95.935","0.02K","-0.09%"
"Dec 22, 2021","96.039","96.380","96.525","95.990","0.04K","-0.43%"
"Dec 21, 2021","96.454","96.420","96.530","96.345","0.02K","-0.06%"
"Dec 20, 2021","96.515","96.585","96.600","96.300","0.02K","0.00%"
"Dec 17, 2021","96.513","95.930","96.600","95.880","0.02K","0.56%"
"Dec 16, 2021","95.980","96.375","96.375","95.840","0.25K","-0.50%"
"Dec 15, 2021","96.467","96.480","96.800","96.255","0.04K","-0.05%"
"Dec 14, 2021","96.513","96.330","96.515","96.090","0.07K","0.25%"
"Dec 13, 2021","96.272","96.085","96.420","96.025","10.94K","0.21%"
