,date,Revenue,Operating Income,Net Income,EBITDA,Ticker
29,2014-11-28,1073300000.0,124505000.0,88100000.0,203025000.0,ADBE
30,2014-08-29,1005400000.0,74176000.0,44700000.0,156515000.0,ADBE
31,2014-05-30,1068200000.0,135258000.0,88500000.0,215956000.0,ADBE
32,2014-02-28,1000120000.0,78746000.0,47046000.0,159118000.0,ADBE
33,2013-11-29,1041700000.0,102836000.0,65300000.0,186372000.0,ADBE
34,2013-08-30,995100000.0,110354000.0,83000000.0,192222000.0,ADBE
35,2013-05-31,1010549000.0,111309000.0,76546000.0,189282000.0,ADBE
36,2013-03-01,1007900000.0,98224000.0,65100000.0,177086000.0,ADBE
37,2012-11-30,1153428000.0,307765000.0,222333000.0,386019000.0,ADBE
38,2012-08-31,1080580000.0,278304000.0,201357000.0,354575000.0,ADBE
39,2012-06-01,1124400000.0,305143000.0,223900000.0,388403000.0,ADBE
40,2012-03-02,1045200000.0,288979000.0,185200000.0,357099000.0,ADBE
41,2011-12-02,1152200000.0,246131000.0,173700000.0,323264000.0,ADBE
42,2011-09-02,1013200000.0,274110000.0,195100000.0,337140000.0,ADBE
43,2011-06-03,1023200000.0,276724000.0,229400000.0,359567000.0,ADBE
44,2011-03-04,1027700000.0,302334000.0,234600000.0,333586000.0,ADBE
45,2010-12-03,1007900000.0,286943000.0,268900000.0,354800000.0,ADBE
46,2010-09-03,990300000.0,302013000.0,230100000.0,360300000.0,ADBE
47,2010-06-04,943000000.0,227285000.0,148600000.0,245800000.0,ADBE
48,2010-03-05,858700000.0,176833000.0,127200000.0,227200000.0,ADBE
49,2009-11-27,757300000.0,153642000.0,-32000000.0,246835000.0,ADBE
50,2009-08-28,697500000.0,167602000.0,136000000.0,238760000.0,ADBE
51,2009-05-29,704700000.0,161353000.0,126100000.0,229220000.0,ADBE
52,2009-02-27,786400000.0,207916000.0,156400000.0,272632000.0,ADBE
53,2008-11-28,915300000.0,273193000.0,245900000.0,2338032000.0,ADBE
54,2008-08-29,887300000.0,219469000.0,191600000.0,293569000.0,ADBE
55,2008-05-30,886900000.0,260178000.0,214900000.0,354756000.0,ADBE
56,2008-02-29,890445000.0,275431000.0,219379000.0,364846000.0,ADBE
57,2007-11-30,911211000.0,275832000.0,222208000.0,368867000.0,ADBE
58,2007-08-31,851686000.0,255025000.0,205243000.0,358759000.0,ADBE
59,2007-06-01,745600000.0,180391000.0,152500000.0,314322000.0,ADBE
60,2007-03-02,649400000.0,146337000.0,143900000.0,264888000.0,ADBE
61,2006-12-01,682200000.0,163372000.0,183200000.0,358513000.0,ADBE
62,2006-09-01,602200000.0,110033000.0,94400000.0,211548000.0,ADBE
63,2006-06-02,635500000.0,147908000.0,123100000.0,250978000.0,ADBE
64,2006-03-03,655500000.0,129980000.0,105100000.0,233583000.0,ADBE
65,2005-12-02,510400000.0,191930000.0,156300000.0,234055000.0,ADBE
66,2005-09-02,487000000.0,183588000.0,144900000.0,224098000.0,ADBE
