Date,Mortgage
2003-03-31,5.840769230769231
2003-06-30,5.506923076923077
2003-09-30,6.033846153846154
2003-12-31,5.9192857142857145
2004-03-31,5.5975
2004-06-30,6.106153846153846
2004-09-30,5.894285714285714
2004-12-31,5.7361538461538455
2005-03-31,5.768461538461538
2005-06-30,5.708461538461538
2005-09-30,5.7638461538461545
2005-12-31,6.226153846153846
2006-03-31,6.2469230769230775
2006-06-30,6.602307692307692
2006-09-30,6.5600000000000005
2006-12-31,6.243846153846154
2007-03-31,6.214615384615384
2007-06-30,6.358461538461539
2007-09-30,6.5515384615384615
2007-12-31,6.224615384615385
2008-03-31,5.872307692307692
2008-06-30,6.086923076923076
2008-09-30,6.322307692307692
2008-12-31,5.841428571428572
2009-03-31,5.06
2009-06-30,5.012307692307692
2009-09-30,5.162307692307692
2009-12-31,4.922142857142857
2010-03-31,4.995833333333334
2010-06-30,4.922307692307692
2010-09-30,4.4471428571428575
2010-12-31,4.436153846153847
2011-03-31,4.846923076923077
2011-06-30,4.650769230769231
2011-09-30,4.291538461538462
2011-12-31,4.002307692307692
2012-03-31,3.9223076923076925
2012-06-30,3.7946153846153843
2012-09-30,3.553846153846154
2012-12-31,3.3592307692307695
2013-03-31,3.496923076923077
2013-06-30,3.6723076923076925
2013-09-30,4.4399999999999995
2013-12-31,4.2930769230769235
2014-03-31,4.364615384615385
2014-06-30,4.227692307692307
2014-09-30,4.135384615384615
2014-12-31,3.9635714285714285
2015-03-31,3.716666666666667
2015-06-30,3.819230769230769
2015-09-30,3.9546153846153844
2015-12-31,3.8978571428571427
2016-03-31,3.7384615384615385
2016-06-30,3.589230769230769
2016-09-30,3.446153846153846
2016-12-31,3.8423076923076924
2017-03-31,4.173076923076923
2017-06-30,3.98
2017-09-30,3.883846153846154
2017-12-31,3.9223076923076925
2018-03-31,4.282307692307692
2018-06-30,4.544615384615384
2018-09-30,4.566923076923077
2018-12-31,4.7846153846153845
2019-03-31,4.373846153846154
2019-06-30,4.010769230769231
2019-09-30,3.6584615384615384
2019-12-31,3.7
2020-03-31,3.5215384615384617
2020-06-30,3.2392307692307694
2020-09-30,2.9523076923076923
2020-12-31,2.7607142857142857
2021-03-31,2.875833333333333
2021-06-30,3.003846153846154
2021-09-30,2.8721428571428573
2021-12-31,3.079230769230769
2022-03-31,3.822307692307692
