Ticker,Date,Revenue,Operating Income,Net Income,EBITDA,Total assets,Total liabilities,Total debt,Receivables,Cash and cash equivalents,Operating Cash Flow,Free Cash Flow,Investing Cash flow,Financing Cash Flow,Adj Close
AAPL,2012-09-30,35966000000.0,10944000000.0,8223000000.0,11874000000.0,176064000000.0,57854000000.0,0.0,18692000000.0,10746000000.0,9136000000.0,5635000000.0,-4313000000.0,-2022000000.0,19.41681062607538
AAPL,2012-12-31,54512000000.0,17210000000.0,13078000000.0,19260000000.0,196088000000.0,68742000000.0,0.0,21534000000.0,16154000000.0,23426000000.0,20971000000.0,-13521000000.0,-4497000000.0,17.589174162956976
AAPL,2013-03-31,43603000000.0,12558000000.0,9547000000.0,14597000000.0,194743000000.0,59253000000.0,0.0,13336000000.0,12053000000.0,12504000000.0,10205000000.0,-14357000000.0,-2248000000.0,14.266810878117878
AAPL,2013-06-30,35323000000.0,9201000000.0,6900000000.0,11182000000.0,199856000000.0,76502000000.0,16958000000.0,13453000000.0,11248000000.0,7828000000.0,5812000000.0,-6507000000.0,-2126000000.0,13.26559765636921
AAPL,2013-09-30,37472000000.0,10030000000.0,7512000000.0,12009000000.0,207000000000.0,83451000000.0,16960000000.0,20641000000.0,14259000000.0,9908000000.0,7602000000.0,611000000.0,-7508000000.0,14.395454168319702
AAPL,2013-12-31,57594000000.0,17463000000.0,13072000000.0,19937000000.0,225184000000.0,95500000000.0,16961000000.0,25198000000.0,14077000000.0,22670000000.0,20626000000.0,-15103000000.0,-7749000000.0,16.50387080013752
AAPL,2014-03-31,45646000000.0,13593000000.0,10223000000.0,15790000000.0,205989000000.0,85810000000.0,16962000000.0,15820000000.0,18949000000.0,13538000000.0,12052000000.0,11741000000.0,-20407000000.0,16.715204676643747
AAPL,2014-06-30,37432000000.0,10282000000.0,7748000000.0,12530000000.0,222520000000.0,101580000000.0,31040000000.0,16841000000.0,12977000000.0,10255000000.0,7824000000.0,-22214000000.0,5987000000.0,18.80791546049572
AAPL,2014-09-30,42123000000.0,11165000000.0,8467000000.0,13556000000.0,231839000000.0,120292000000.0,35295000000.0,27219000000.0,13844000000.0,13250000000.0,9398000000.0,2997000000.0,-15380000000.0,21.802040994167328
AAPL,2014-12-31,74599000000.0,24246000000.0,18024000000.0,27122000000.0,261894000000.0,138566000000.0,36403000000.0,29976000000.0,19478000000.0,33722000000.0,30457000000.0,-21165000000.0,-6923000000.0,24.281366914510727
