Date,High,Low,Adj Close,IntRate,CBOE,CrudeOil,SP500,USD,NYSEtech
2003-03-31,24.709999084472656,24.01000022888184,15.029788970947266,1.19,3.823,31.040000915527344,848.1799926757812,99.49,287.47
2003-04-01,24.700000762939453,24.25,15.116705894470217,1.16,3.827,29.780000686645508,858.47998046875,99.58,286.62
2003-04-02,26.0,25.100000381469727,15.967214584350586,1.22,3.932,28.559999465942383,880.9000244140625,100.55,299.31
2003-04-03,26.09000015258789,25.600000381469727,15.973413467407228,1.18,3.916,28.96999931335449,876.4500122070312,100.78,300.21
2003-04-04,25.799999237060547,24.93000030517578,15.576105117797852,1.18,3.944,28.6200008392334,878.8499755859375,100.88,296.34
2003-04-07,26.43000030517578,25.170000076293945,15.62576961517334,1.25,4.014,27.959999084472656,879.9299926757812,101.48,299.05
2003-04-08,25.82999992370605,25.200000762939453,15.880293846130373,1.21,3.936,28.0,878.2899780273438,100.9,294.69
2003-04-09,25.670000076293945,24.540000915527344,15.25328254699707,1.22,3.901,28.850000381469727,865.989990234375,100.53,288.39
2003-04-10,24.790000915527344,24.280000686645508,15.26569652557373,1.25,3.934,27.459999084472656,871.5800170898438,100.2,290.35
2003-04-11,25.18000030517578,23.950000762939453,15.023579597473145,1.3,3.981,28.13999938964844,868.2999877929688,100.56,289.78
2003-04-14,24.8799991607666,24.0,15.371233940124512,1.33,4.021,28.6299991607666,885.22998046875,100.31,295.54
2003-04-15,24.790000915527344,24.100000381469727,15.27190399169922,1.32,3.971,29.290000915527344,890.8099975585938,100.05,297.45
