Date,Open,High,Low,Close
5/4/21,"3,914.36","3,914.36","3,780.37","3,845.78"
5/3/21,"3,952.90","3,975.25","3,911.19","3,914.36"
4/30/21,"4,000.80","4,000.80","3,944.94","3,952.90"
4/29/21,"4,022.88","4,060.95","3,960.67","4,000.80"
4/28/21,"4,020.99","4,042.83","3,997.56","4,022.88"
4/27/21,"4,035.83","4,047.50","4,006.64","4,020.99"
4/26/21,"3,987.18","4,036.26","3,982.84","4,035.83"
4/23/21,"3,916.26","3,994.26","3,916.26","3,987.18"
4/22/21,"3,965.89","3,976.82","3,896.92","3,916.26"
4/21/21,"3,917.20","3,966.46","3,881.94","3,965.89"
4/20/21,"3,974.55","3,975.42","3,889.74","3,917.20"
4/19/21,"4,035.59","4,035.59","3,945.61","3,974.55"
4/16/21,"4,040.53","4,042.83","4,012.62","4,035.59"
4/15/21,"3,986.17","4,047.00","3,986.17","4,040.53"
4/14/21,"4,045.50","4,058.34","3,978.65","3,986.17"
4/13/21,"4,011.22","4,048.36","4,011.22","4,045.50"
4/12/21,"4,031.26","4,031.26","3,984.18","4,011.22"
4/9/21,"4,029.94","4,032.99","3,989.53","4,031.26"
4/8/21,"3,966.73","4,030.01","3,966.73","4,029.94"
4/7/21,"3,976.16","3,987.34","3,945.12","3,966.73"
4/6/21,"3,966.69","4,011.76","3,961.14","3,976.16"
4/5/21,"3,918.54","3,977.82","3,918.54","3,966.69"
4/1/21,"3,807.98","3,923.83","3,807.98","3,918.54"
3/31/21,"3,729.85","3,833.33","3,729.85","3,807.98"
3/30/21,"3,724.72","3,743.42","3,680.04","3,729.85"
3/29/21,"3,754.68","3,754.68","3,693.64","3,724.72"
3/26/21,"3,656.39","3,756.96","3,656.39","3,754.68"
3/25/21,"3,645.71","3,670.50","3,593.80","3,656.39"
3/24/21,"3,754.53","3,783.09","3,644.93","3,645.71"
3/23/21,"3,797.48","3,814.25","3,747.11","3,754.53"
3/22/21,"3,751.59","3,826.32","3,751.59","3,797.48"
3/19/21,"3,721.21","3,767.17","3,686.65","3,751.59"
3/18/21,"3,863.00","3,863.00","3,717.01","3,721.21"
